product_id,product_name,inventory_count,description,price,serve_size,calories,protein,sodium,fiber,sugar,Category,Subcategory
36,Turnovers,,"Treat yourself to the delightful surprise of our Turnovers! These hand-held pastries are filled with delectable fruit fillings, such as apple or cherry, and wrapped in flaky pastry dough 🥐🍎. Whether you're enjoying them warm from the oven or as a convenient on-the-go snack, our Turnovers promise a sweet and satisfying experience that's reminiscent of homemade goodness. Get ready for a burst of flavor in every bite.",$2.49,1 turnover,180,2,150,1,12,Bread and Bakery,Pastries
37,"Chocolate Cake 18""",,"Indulge your sweet tooth with our rich and decadent Chocolate Cake! Moist, velvety layers of chocolate goodness are perfectly balanced with creamy chocolate frosting 🍰🍫. Whether you're celebrating a special occasion or simply craving a sweet treat, our Chocolate Cake promises a slice of pure chocolate heaven. Share it with loved ones or savor it all to yourself - it's the ultimate dessert for chocolate enthusiasts.",$19.99,1 slice,350,4,180,2,32,Bread and Bakery,Cakes
38,Carrot Cake,,"Experience the delightful combination of sweetness and warmth with our Carrot Cake! Moist layers of spiced carrot cake are generously frosted with creamy, tangy cream cheese icing 🍰🥕. Packed with flavor and texture, our Carrot Cake offers a comforting taste of homemade goodness that's perfect for any gathering or as a special treat for yourself. Enjoy the subtle sweetness and the hint of cinnamon in every bite.",$22.99,1 slice,300,3,200,2,26,Bread and Bakery,Cakes
39,Gala Apple,,"Crisp and sweet, our Gala Apples are a local favorite, proudly grown in the sunny orchards of California. Their vibrant red and yellow hues make them a standout at our farmer's market, and their delicious, juicy flavor is perfect for fresh snacking or adding a sweet crunch to your salads and pies.",$1.49,1 fruit,95,0.5,2,4,19,Fruit,Fresh Fruit
40,Apple,,"Our California-grown Apples are a staple of our farmer's market, offering a variety of flavors and textures to suit every preference. From the tart Granny Smith to the sweet Fuji, these apples are nurtured by our local farmers, ensuring the freshest and finest quality.",$1.99,1 fruit,95,0.5,2,4,19,Fruit,Fresh Fruit
41,Banana,," Though not grown locally in California, our ripe and creamy Bananas are carefully selected to bring a tropical touch to our farmer's market. They're the perfect on-the-go snack or addition to your morning smoothie, adding a burst of natural energy and sweetness.",$0.59,1 fruit,105,1.3,1,3,14,Fruit,Fresh Fruit
42,Orange,,"California is renowned for its citrus, and our Oranges are no exception. Sourced from nearby orchards, these oranges are a juicy, sun-kissed delight at our farmer's market. Peel one open to experience the zesty, refreshing taste that only locally grown oranges can provide.",$1.29,1 fruit,62,1.2,0,3,12,Fruit,Fresh Fruit
43,Strawberries,,"Plump and juicy, our California Strawberries are a true gem at our farmer's market. Grown with care in the state's fertile soil, these strawberries are bursting with sweet, sun-ripened flavor. Enjoy them fresh, in desserts, or as a delightful addition to your salads.",$3.99,1 cup,49,1,1,3,7,Fruit,Fresh Fruit
44,Grapes,,"California vineyards are world-famous, and our farmer's market proudly features locally grown Grapes. These plump, sweet clusters are perfect for snacking, sharing, or transforming into fine wines from the heart of California's wine country.",$2.49,1 cup,104,1.1,3,1,23,Fruit,Fresh Fruit
45,Pineapple,,"While not native to California, our Pineapples are sourced from top-quality suppliers to offer a taste of the tropics at our farmer's market. Sweet and tangy, they're a refreshing treat that adds a burst of flavor to your dishes.",$3.99,1 cup,82,1,2,2,16,Fruit,Fresh Fruit
46,Watermelon,,"California's warm sun and fertile soil produce some of the juiciest Watermelons you'll find. At our farmer's market, you can savor the sweet, hydrating goodness of locally grown watermelons, perfect for picnics and summer gatherings.",$1.99,1 cup,46,0.9,2,0.6,9,Fruit,Fresh Fruit
47,Kiwi,,"California's temperate climate is ideal for growing the finest Kiwi fruit. Our farmer's market proudly presents these fuzzy-skinned, emerald-green treasures, offering a tangy-sweet taste and a burst of vitamins to your day.",$0.99,1 cup,42,0.8,2,2,7,Fruit,Fresh Fruit
48,Mango,,"While not native to California, our Mangoes are carefully sourced to ensure the ripest and most flavorful selection at our farmer's market. Their tropical sweetness and succulent flesh are perfect for enjoying as a snack or adding a taste of the exotic to your dishes.",$2.49,1 fruit,99,1.4,2,3,23,Fruit,Fresh Fruit
49,Blueberries,,"Grown in California's fertile regions, our Blueberries are a small but mighty delight at our farmer's market. Bursting with antioxidants and flavor, these plump blue gems are perfect for baking, snacking, or adding to your breakfast yogurt.",$3.99,1 cup,84,1.1,1,3.6,15,Fruit,Fresh Fruit
